"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","TD","Sl_no"
"1234",32,"blue-collar","married","professional.course","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"yes",1234
"4024",37,"blue-collar","married","professional.course","no","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",4024
"33834",36,"blue-collar","married","basic.9y","unknown","no","no","cellular","may","wed",3,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"yes",33834
"38059",36,"admin.","single","university.degree","no","yes","no","cellular","sep","fri",2,999,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,"yes",38059
"7405",48,"blue-collar","married","basic.6y","no","yes","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",7405
"11717",31,"technician","married","professional.course","no","no","yes","telephone","jun","fri",6,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",11717
"2637",52,"management","married","basic.4y","unknown","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",2637
"2482",42,"admin.","married","basic.6y","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",2482
"17995",25,"services","single","high.school","unknown","yes","yes","cellular","jul","wed",7,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",17995
"28835",55,"admin.","married","university.degree","no","yes","no","cellular","apr","thu",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no",28835
"6504",43,"technician","single","professional.course","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",6504
"40776",25,"student","single","high.school","no","no","no","telephone","sep","mon",1,999,0,"nonexistent",-1.1,94.199,-37.5,0.876,4963.6,"yes",40776
"17953",26,"unemployed","married","high.school","no","no","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",17953
"24977",49,"services","married","high.school","no","no","no","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no",24977
"30166",54,"management","married","university.degree","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no",30166
"39261",27,"services","single","university.degree","no","yes","no","cellular","mar","fri",3,999,1,"failure",-1.8,93.369,-34.8,0.649,5008.7,"yes",39261
"40110",62,"technician","married","unknown","no","yes","no","cellular","jul","mon",1,999,2,"failure",-1.7,94.215,-40.3,0.827,4991.6,"yes",40110
"239",33,"services","married","high.school","unknown","no","yes","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",239
"34788",33,"blue-collar","married","basic.9y","no","no","yes","cellular","may","thu",7,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no",34788
"18952",49,"admin.","divorced","professional.course","no","yes","yes","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no",18952
"13301",40,"admin.","married","high.school","no","no","yes","telephone","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",13301
"37660",35,"technician","married","university.degree","no","unknown","unknown","cellular","aug","tue",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.859,5076.2,"no",37660
"25805",35,"self-employed","single","university.degree","no","yes","no","cellular","nov","wed",3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no",25805
"39742",29,"services","single","high.school","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",-1.8,93.876,-40,0.699,5008.7,"yes",39742
"31423",33,"admin.","single","university.degree","no","yes","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no",31423
"27779",38,"technician","married","university.degree","no","no","no","cellular","mar","tue",2,999,2,"failure",-1.8,92.843,-50,1.687,5099.1,"yes",27779
"22644",40,"technician","married","high.school","no","yes","yes","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",22644
"9070",57,"technician","single","professional.course","no","yes","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no",9070
"36505",59,"blue-collar","married","basic.4y","unknown","no","no","cellular","jun","wed",1,999,1,"failure",-2.9,92.963,-40.8,1.26,5076.2,"yes",36505
"38761",40,"services","married","high.school","no","yes","no","cellular","nov","thu",3,3,2,"success",-3.4,92.649,-30.1,0.714,5017.5,"yes",38761
"24521",30,"admin.","divorced","university.degree","no","no","no","telephone","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",24521
"27761",34,"technician","single","professional.course","no","yes","no","cellular","mar","fri",1,999,0,"nonexistent",-1.8,92.843,-50,1.726,5099.1,"yes",27761
"4260",50,"blue-collar","married","basic.4y","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",4260
"11506",36,"services","married","high.school","no","no","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",11506
"32032",35,"blue-collar","married","unknown","no","yes","no","cellular","may","thu",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"yes",32032
"38762",29,"student","single","professional.course","no","no","no","cellular","nov","thu",3,3,2,"success",-3.4,92.649,-30.1,0.714,5017.5,"yes",38762
"9072",44,"services","married","high.school","no","yes","no","telephone","jun","thu",3,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no",9072
"20145",47,"technician","single","high.school","no","no","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",20145
"16057",35,"blue-collar","married","unknown","unknown","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",16057
"14521",24,"entrepreneur","single","university.degree","no","yes","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",14521
"39033",81,"retired","divorced","basic.4y","no","yes","no","cellular","dec","fri",3,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,"yes",39033
"15003",38,"blue-collar","married","basic.9y","no","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no",15003
"21845",29,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",21845
"16523",28,"admin.","married","university.degree","no","no","yes","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",16523
"14154",31,"management","married","university.degree","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",14154
"38620",37,"admin.","married","high.school","no","yes","yes","cellular","nov","mon",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.722,5017.5,"no",38620
"33682",29,"blue-collar","divorced","basic.9y","no","yes","yes","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no",33682
"40361",48,"admin.","married","university.degree","no","yes","yes","cellular","aug","wed",1,0,3,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",40361
"5949",45,"services","divorced","unknown","no","yes","no","telephone","may","tue",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",5949
"8361",30,"blue-collar","married","basic.6y","unknown","yes","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"yes",8361
"24779",50,"technician","married","professional.course","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes",24779
"3069",33,"blue-collar","single","basic.9y","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",3069
"39545",29,"services","single","unknown","no","yes","no","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.749,-34.6,0.659,5008.7,"yes",39545
"2563",30,"services","single","high.school","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",2563
"7088",36,"admin.","married","high.school","no","no","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",7088
"25330",38,"management","married","basic.9y","no","yes","no","cellular","nov","tue",3,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",25330
"24807",34,"technician","married","professional.course","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",24807
"30405",31,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",30405
"3907",35,"self-employed","divorced","basic.9y","no","no","yes","telephone","may","mon",3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",3907
"28545",25,"student","single","high.school","no","yes","yes","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.415,5099.1,"yes",28545
"39632",56,"technician","married","professional.course","no","yes","no","telephone","may","mon",5,999,0,"nonexistent",-1.8,93.876,-40,0.682,5008.7,"yes",39632
"35583",31,"blue-collar","married","high.school","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no",35583
"14144",31,"admin.","single","high.school","no","yes","no","telephone","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",14144
"8354",30,"services","married","university.degree","unknown","yes","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",8354
"39389",56,"unemployed","divorced","basic.4y","no","yes","no","cellular","mar","wed",1,999,1,"failure",-1.8,93.369,-34.8,0.634,5008.7,"yes",39389
"40820",31,"admin.","married","university.degree","no","yes","no","cellular","sep","fri",2,13,1,"success",-1.1,94.199,-37.5,0.879,4963.6,"yes",40820
"30345",47,"admin.","married","university.degree","no","yes","yes","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"no",30345
"19571",50,"blue-collar","married","basic.9y","unknown","no","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no",19571
"38877",72,"retired","married","high.school","no","no","no","cellular","nov","mon",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.714,5017.5,"yes",38877
"24287",51,"management","married","basic.4y","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",24287
"21740",55,"housemaid","married","basic.4y","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",21740
"24346",43,"management","married","university.degree","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",24346
"37330",31,"admin.","single","university.degree","no","yes","yes","telephone","aug","tue",2,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2,"no",37330
"1414",37,"blue-collar","married","basic.4y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",1414
"33516",30,"student","single","university.degree","no","yes","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes",33516
"10586",38,"admin.","single","basic.9y","no","no","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",10586
"39688",54,"admin.","married","professional.course","no","no","no","telephone","may","mon",5,999,0,"nonexistent",-1.8,93.876,-40,0.685,5008.7,"no",39688
"7880",29,"technician","single","unknown","no","no","no","telephone","jun","mon",4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no",7880
"32076",34,"management","single","university.degree","no","no","yes","cellular","may","fri",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes",32076
"30462",39,"admin.","married","high.school","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30462
"21999",29,"technician","single","high.school","unknown","no","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",21999
"33439",32,"technician","single","high.school","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes",33439
"19968",50,"blue-collar","married","basic.6y","no","no","no","cellular","aug","fri",3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",19968
"37126",18,"student","single","basic.9y","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.884,5076.2,"yes",37126
"19216",32,"technician","married","professional.course","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no",19216
"8827",49,"blue-collar","married","basic.9y","unknown","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"yes",8827
"19689",52,"technician","single","professional.course","no","yes","no","cellular","aug","thu",5,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no",19689
"30775",37,"management","married","university.degree","no","no","yes","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no",30775
"28605",30,"admin.","married","university.degree","no","no","no","cellular","apr","wed",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.415,5099.1,"yes",28605
"10686",52,"blue-collar","divorced","high.school","no","no","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"yes",10686
"23020",33,"technician","married","professional.course","unknown","yes","no","cellular","aug","tue",7,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes",23020
"34839",35,"blue-collar","single","basic.9y","no","yes","no","cellular","may","fri",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes",34839
"11377",36,"admin.","divorced","university.degree","no","yes","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",11377
"15565",26,"services","single","high.school","no","no","no","cellular","jul","fri",7,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes",15565
"37095",51,"admin.","married","university.degree","no","yes","no","cellular","jul","fri",5,999,0,"nonexistent",-2.9,92.469,-33.6,0.921,5076.2,"yes",37095
"26597",41,"services","single","high.school","unknown","yes","no","cellular","nov","thu",3,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no",26597
"36631",52,"admin.","married","university.degree","no","yes","no","cellular","jun","thu",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no",36631
"40479",67,"housemaid","divorced","professional.course","no","no","no","cellular","aug","thu",1,6,2,"success",-1.7,94.027,-38.3,0.899,4991.6,"yes",40479
"9158",52,"self-employed","married","basic.4y","unknown","no","yes","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"yes",9158
"25651",31,"admin.","single","high.school","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no",25651
"22938",31,"technician","divorced","high.school","no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",22938
"37115",36,"admin.","married","high.school","no","no","no","cellular","jul","tue",6,999,0,"nonexistent",-2.9,92.469,-33.6,0.908,5076.2,"no",37115
"4459",41,"management","married","basic.9y","no","yes","no","telephone","may","tue",3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",4459
"30730",58,"admin.","single","university.degree","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"yes",30730
"26352",46,"management","married","unknown","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no",26352
"40749",82,"retired","divorced","basic.4y","no","yes","no","cellular","sep","thu",2,999,1,"failure",-1.1,94.199,-37.5,0.879,4963.6,"yes",40749
"8822",46,"blue-collar","married","professional.course","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"yes",8822
"37170",52,"retired","divorced","university.degree","no","yes","yes","cellular","aug","thu",2,4,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"yes",37170
"33973",29,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",3,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"yes",33973
"11776",25,"unemployed","single","high.school","unknown","no","no","telephone","jun","fri",9,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",11776
"36674",25,"student","married","university.degree","no","no","no","cellular","jun","fri",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"yes",36674
"36637",53,"blue-collar","married","basic.9y","no","no","yes","cellular","jun","thu",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes",36637
"13298",39,"technician","married","professional.course","no","yes","no","telephone","jul","wed",8,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",13298
"23589",35,"technician","married","university.degree","unknown","no","no","cellular","aug","thu",5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no",23589
"30938",31,"blue-collar","married","basic.9y","no","no","yes","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no",30938
"11913",35,"student","single","university.degree","unknown","no","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",11913
"39596",29,"admin.","single","university.degree","no","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,93.876,-40,0.672,5008.7,"yes",39596
"3604",35,"technician","married","professional.course","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",3604
"19676",31,"housemaid","married","basic.4y","no","no","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no",19676
"40215",38,"admin.","married","high.school","no","no","no","telephone","jul","tue",1,999,1,"failure",-1.7,94.215,-40.3,0.876,4991.6,"no",40215
"20385",38,"technician","married","high.school","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no",20385
"12682",48,"blue-collar","married","basic.6y","no","yes","no","cellular","jul","mon",5,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no",12682
"26539",44,"admin.","single","professional.course","no","yes","no","cellular","nov","thu",4,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes",26539
"20864",31,"technician","married","professional.course","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",20864
"38185",82,"retired","married","university.degree","no","yes","no","cellular","oct","tue",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.744,5017.5,"yes",38185
"32135",45,"technician","divorced","university.degree","unknown","no","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes",32135
"26690",34,"self-employed","married","illiterate","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes",26690
"23296",51,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",9,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",23296
"38659",37,"entrepreneur","divorced","high.school","no","no","no","cellular","nov","wed",2,999,2,"failure",-3.4,92.649,-30.1,0.719,5017.5,"no",38659
"17178",41,"self-employed","married","basic.9y","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",17178
"32998",30,"admin.","single","university.degree","no","no","no","telephone","may","mon",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no",32998
"20506",45,"admin.","married","university.degree","no","no","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no",20506
"33819",39,"blue-collar","divorced","basic.6y","unknown","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"yes",33819
"4570",49,"admin.","single","high.school","no","no","no","telephone","may","tue",5,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",4570
"18667",54,"admin.","married","university.degree","no","no","no","cellular","jul","thu",5,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no",18667
"31045",31,"admin.","married","unknown","no","yes","no","cellular","may","wed",11,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no",31045
"12760",42,"unemployed","married","university.degree","unknown","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",12760
"8277",38,"admin.","single","university.degree","unknown","yes","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"yes",8277
"8419",58,"self-employed","married","university.degree","no","no","no","telephone","jun","tue",4,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",8419
"39064",38,"unemployed","single","high.school","no","yes","no","cellular","dec","fri",4,6,1,"success",-3,92.713,-33,0.71,5023.5,"yes",39064
"15577",29,"admin.","single","university.degree","unknown","yes","no","cellular","jul","fri",8,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",15577
"16283",38,"blue-collar","divorced","basic.4y","no","yes","no","cellular","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",16283
"30556",51,"blue-collar","married","basic.4y","no","yes","no","cellular","may","mon",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30556
"39796",76,"housemaid","married","basic.4y","no","no","no","cellular","jun","tue",5,999,0,"nonexistent",-1.7,94.055,-39.8,0.702,4991.6,"yes",39796
"13458",39,"blue-collar","married","basic.6y","unknown","yes","no","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",13458
"31352",42,"blue-collar","divorced","high.school","unknown","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no",31352
"40565",45,"blue-collar","single","high.school","no","yes","yes","cellular","sep","wed",1,999,0,"nonexistent",-1.1,94.199,-37.5,0.886,4963.6,"yes",40565
"39353",65,"housemaid","divorced","basic.4y","unknown","no","no","cellular","mar","fri",3,999,0,"nonexistent",-1.8,93.369,-34.8,0.636,5008.7,"yes",39353
"36446",30,"admin.","married","university.degree","no","no","no","cellular","jun","tue",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,"yes",36446
"34156",24,"blue-collar","single","basic.9y","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no",34156
"25961",56,"blue-collar","divorced","basic.9y","no","yes","no","cellular","nov","wed",3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"yes",25961
"15197",23,"management","single","university.degree","no","no","no","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no",15197
"25569",49,"technician","married","professional.course","no","yes","no","cellular","nov","wed",2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no",25569
"37162",59,"retired","married","unknown","no","no","no","cellular","aug","wed",2,999,1,"failure",-2.9,92.201,-31.4,0.884,5076.2,"yes",37162
"9847",29,"admin.","married","university.degree","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",9847
"1791",58,"blue-collar","married","basic.9y","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",1791
"14524",31,"services","married","high.school","unknown","yes","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",14524
"8747",43,"blue-collar","married","basic.9y","unknown","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no",8747
"40120",83,"retired","married","university.degree","no","no","no","telephone","jul","tue",1,12,1,"success",-1.7,94.215,-40.3,0.835,4991.6,"yes",40120
"13066",27,"self-employed","single","professional.course","no","yes","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",13066
"29990",54,"management","married","university.degree","no","no","no","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",29990
"4983",44,"blue-collar","divorced","unknown","no","yes","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"yes",4983
"40902",56,"unemployed","divorced","basic.4y","no","no","yes","cellular","oct","fri",2,5,3,"success",-1.1,94.601,-49.5,0.972,4963.6,"yes",40902
"6091",29,"admin.","single","basic.9y","unknown","no","no","telephone","may","tue",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",6091
"3859",38,"technician","married","university.degree","unknown","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",3859
"33508",32,"services","married","high.school","no","no","no","cellular","may","tue",4,1,2,"success",-1.8,92.893,-46.2,1.291,5099.1,"yes",33508
"35415",55,"technician","married","professional.course","no","no","yes","cellular","may","fri",3,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no",35415
"12035",27,"technician","single","unknown","no","yes","no","telephone","jun","thu",8,999,0,"nonexistent",1.4,94.465,-41.8,4.955,5228.1,"no",12035
"39042",85,"retired","divorced","basic.4y","unknown","yes","no","cellular","dec","mon",3,6,1,"success",-3,92.713,-33,0.715,5023.5,"yes",39042
"10055",48,"blue-collar","divorced","basic.4y","unknown","unknown","unknown","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no",10055
"37904",33,"admin.","married","high.school","no","yes","no","cellular","sep","tue",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.819,5017.5,"yes",37904
"1609",32,"unknown","unknown","university.degree","no","no","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"yes",1609
"14683",35,"unemployed","married","university.degree","no","yes","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",14683
"13498",50,"management","married","university.degree","no","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",13498
"5232",27,"technician","single","professional.course","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",5232
"2519",31,"management","married","university.degree","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",2519
"1502",41,"services","divorced","high.school","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"yes",1502
"25137",32,"entrepreneur","married","basic.9y","no","no","no","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",25137
"13675",33,"self-employed","married","basic.9y","unknown","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",13675
"40807",35,"technician","married","professional.course","no","yes","no","cellular","sep","thu",1,999,2,"failure",-1.1,94.199,-37.5,0.878,4963.6,"no",40807
"13456",42,"admin.","married","university.degree","no","no","no","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",13456
"33182",26,"admin.","single","university.degree","no","yes","no","cellular","may","tue",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no",33182
"40031",48,"admin.","single","university.degree","no","yes","no","cellular","jul","fri",2,3,1,"success",-1.7,94.215,-40.3,0.79,4991.6,"yes",40031
